BDPONO_PurchaseOrderNumber,BDVNDR_VendorCode,VNAME_VendorName,BDRECD_RecordFlag,BDITEM_ItemNumber,BDCRTD_CreationDate,BDRPDATE_RequiredDate,BDOQOO_QuantityOrdered,BDIUOM_UnitOfMeasure,BDCQOO_ConfirmedQuantity,BDOOQ_OtherOrderedQuantity,BDTIQR_TimeInQueue,BDPOCDATE_PurchaseOrderDate,BDRCCDATE_ReceiptConfirmationDate
514358,571,"TREK METALS INC                    ",C,51966,"14.500 BAR HF 4140  ANN++          ",20220831,80.333,"FT ",0.000,40000.000,81.583,20220412,20221014
514949,792,"SOUTHWEST ALLOYS LLC               ",C,51971,"22.000 BAR HF 4130 75 KSI QT       ",20220630,40.167,"FT ",0.000,54891.000,41.500,20220610,20220629
513644,571,"TREK METALS INC                    ",C,51972,"13.500 BAR HF 4340  ANN++          ",20220729,126.000,"FT ",0.000,60000.000,135.084,20220126,20220803
513643,571,"TREK METALS INC                    ",C,51972,"13.500 BAR HF 4340  ANN++          ",20220729,36.000,"FT ",0.000,17500.000,38.667,20220126,20220803
513656,177,"TENARIS GLOBAL SERVICES            ",C,51974,"3.500 2.441 .530 HF 4130 LN80 QT   ",20230228,1320.000,"FT ",0.000,22025.000,1447.083,20220128,20230424
517826,200,"FRISA FORJADOS S.A. DE C.V.        ",C,51978,"16.000 BAR HF 4330V  AF            ",20240926,32.000,"FT ",0.000,20000.000,34.833,20240723,20241001
517478,129,"FINKL STEEL - SOREL                ",C,51978,"16.000 BAR HF 4330V  AF            ",20240712,18.333,"FT ",0.000,13000.000,18.917,20240417,20240711
514901,694,"FRISA METALS LLC                   ",C,51978,"16.000 BAR HF 4330V  AF            ",20220930,64.000,"FT ",0.000,40000.000,78.501,20220605,20221121
518669,183,"DUFERCO STEEL INC.                 ",C,51985,"5.500 BAR HF 1018                  ",20250211,40.167,"FT ",0.000,3069.000,46.667,20250210,20250218
517866,792,"SOUTHWEST ALLOYS LLC               ",C,51986,"12.500 BAR HF 4140 110KSI NQT      ",20241031,69.000,"FT ",0.000,29760.000,70.416,20240805,20241003
517550,247,"MAGELLAN CORPORATION               ",C,51986,"12.500 BAR HF 4140 110 KSI NQT     ",20240506,63.000,"FT ",0.000,26100.000,61.333,20240501,20240506
