IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AT06.000-03.250 HF 4140 LN80 QT++                                     ",52035,6.0000,3.2500,1.3750,"HF 4140 LN80++..              ",67.919,89.5127,4434.416,0.000,14.504,"6.000 OD 3.250 ID 1.375 WALL  ",PLI,"STB05                              "
"AT06.000-03.375 HF 4130M7 110-125KSI NQT                              ",51673,6.0000,3.3750,1.3130,"HF 4130M7 110-125..           ",65.708,174.6687,74.584,0.000,0.000,"6.000 OD 3.375 ID 1.313 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.375 HF 4130M7 125KSI NQT                                  ",51057,6.0000,3.3750,1.3125,"HF 4130M7 125KSI              ",65.708,174.0933,10.000,0.000,0.000,"6.000 OD 3.375 ID 1.313 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.375 HF 4130M7 ANN                                         ",51056,6.0000,3.3750,1.3125,"HF 4130M7 ANN                 ",65.708,140.5048,0.000,0.000,0.000,"6.000 OD 3.375 ID 1.313 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.500 HF 4130M7  ANNEALED                                   ",51698,6.0000,3.5000,1.2500,"HF 4130M7  Annealed           ",63.413,140.7856,0.000,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.500 HF 4130M7 NQT 223-255 BHN                             ",51692,6.0000,3.5000,1.2500,"HF 4130M7 NQT 223-255 BHN     ",63.413,205.5128,18.416,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.500 HF 4140  NQT 344/388                                  ",52403,6.0000,3.5000,1.2500,"HF 4140  NQT 344/388          ",63.413,0.0000,11.167,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.500 HF 4140 125-140 KSI NQT                               ",51238,6.0000,3.5000,1.2500,"HF  4140 125-140 KSI NQT      ",63.413,111.1604,13.417,715.333,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"STB13                              "
"AT06.000-03.500 HF 4140 125KSI QT++                                   ",52112,6.0000,3.5000,1.2500,"HF 4140 125KSI QT++           ",63.413,87.1613,0.000,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"STB13                              "
"AT06.000-03.500 HF 4140 140KSI QT                                     ",52596,6.0000,3.5000,1.2500,"HF 4140 140KSI QT             ",63.413,0.0000,5.667,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.500 HF 4140 ANN                                           ",50598,6.0000,3.5000,1.2500,"HF 4140 ANN                   ",63.413,48.6181,0.000,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"STB07                              "
"AT06.000-03.500 HF 4140 LN80 QT                                       ",50246,6.0000,3.5000,1.2500,"HF 4140 LN80 QT..             ",63.413,84.1966,2181.415,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"STB05                              "
"AT06.000-03.500 HF 4140 LN80 QT++                                     ",51846,6.0000,3.5000,1.2500,"HF 4140 LN80++..              ",63.413,84.0040,2742.417,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"STB05                              "
"AT06.000-03.500 HF 4140 P110 QT                                       ",50044,6.0000,3.5000,1.2500,"HF 4140 P110 QT               ",63.413,55.8932,0.000,0.000,0.000,"6.000 OD 3.500 ID 1.250 WALL  ",PLI,"STB13                              "
"AT06.000-03.625 HF 4140 125KSI QT                                     ",51983,6.0000,3.6250,1.1880,"HF 4140 125KSI QT++           ",61.035,62.4110,0.000,0.000,0.000,"6.000 OD 3.625 ID 1.188 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.750 HF 4140  NQT 262/302                                  ",52288,6.0000,3.7500,1.1250,"HF 4140  NQT 262/302          ",58.574,0.0000,30.000,0.000,0.000,"6.000 OD 3.750 ID 1.125 WALL  ",PLI,"DEFAULT                            "
"AT06.000-03.750 HF 4140 125KSI QT                                     ",50248,6.0000,3.7500,1.1250,"HF 4140 125KSI ..             ",58.574,94.6589,1719.082,0.000,0.000,"6.000 OD 3.750 ID 1.125 WALL  ",PLI,"STB13                              "
"AT06.000-03.750 HF 4140 125KSI++                                      ",51811,6.0000,3.7500,1.1250,"HF 4140 125 KSI++..           ",58.574,81.3807,1151.750,0.000,0.000,"6.000 OD 3.750 ID 1.125 WALL  ",PLI,"STB13                              "
"AT06.000-03.750 HF 4140 LN80 QT                                       ",50247,6.0000,3.7500,1.1250,"HF 4140 LN80 QT..             ",58.574,86.7556,1355.747,0.000,0.000,"6.000 OD 3.750 ID 1.125 WALL  ",PLI,"STB05                              "
"AT06.000-03.750 HF 4140 LN80 QT++                                     ",52113,6.0000,3.7500,1.1250,"HF 4140 LN80++..              ",58.574,78.5640,314.582,0.000,0.000,"6.000 OD 3.750 ID 1.125 WALL  ",PLI,"STB05                              "
"AT06.000-04.000 HF 4130 LN80 QT                                       ",50201,6.0000,4.0000,1.0000,"HF 4130 LN80 QT               ",53.401,67.2781,358.584,0.000,0.000,"6.000 OD 4.000 ID 1.000 WALL  ",PLI,"STB01                              "
"AT06.000-04.000 HF 4140 125KSI QT                                     ",50220,6.0000,4.0000,1.0000,"HF 4140 125KSI                ",53.401,77.6531,729.339,0.000,0.000,"6.000 OD 4.000 ID 1.000 WALL  ",PLI,"STB06                              "
"AT06.000-04.000 HF 4140 125KSI QT++                                   ",51995,6.0000,4.0000,1.0000,"HF 4140 125++                 ",53.401,74.0355,1255.001,0.000,0.000,"6.000 OD 4.000 ID 1.000 WALL  ",PLI,"STB13                              "
"AT06.000-04.000 HF 4140 LN80 QT                                       ",50753,6.0000,4.0000,1.0000,"HF 4140 LN80..                ",53.401,86.0219,169.500,0.000,0.000,"6.000 OD 4.000 ID 1.000 WALL  ",PLI,"STB05                              "
"AT06.000-04.000 HF 4140 LN80 QT++                                     ",52163,6.0000,4.0000,1.0000,"HF 4140 LN80++..              ",53.401,70.7652,355.503,0.000,0.000,"6.000 OD 4.000 ID 1.000 WALL  ",PLI,"STB05                              "
"AT06.000-04.250 HF 4140 125KSI QT                                     ",50222,6.0000,4.2500,0.8750,"HF 4140 125KSI                ",47.894,63.9645,0.000,0.000,0.000,"6.000 OD 4.250 ID .875 WALL   ",PLI,"STB13                              "
"AT06.000-04.250 HF 4140 125KSI++                                      ",51808,6.0000,4.2500,0.8750,"HF 4140 125KSI++              ",47.894,65.1189,1522.334,0.000,0.984,"6.000 OD 4.250 ID .875 WALL   ",PLI,"STB13                              "
"AT06.000-04.250 HF 4140 LN80 QT                                       ",50221,6.0000,4.2500,0.8750,"HF 4140 LN80 QT..             ",47.894,71.9566,472.083,0.000,0.000,"6.000 OD 4.250 ID .875 WALL   ",PLI,"STB05                              "
"AT06.000-04.250 HF 4140 LN80 QT++                                     ",52059,6.0000,4.2500,0.8750,"HF 4140 LN80++..              ",47.894,62.5998,1751.168,0.000,0.000,"6.000 OD 4.250 ID .875 WALL   ",PLI,"STB05                              "
"AT06.000-04.500 HF 4140 125 KSI ++                                    ",51809,6.0000,4.5000,0.7500,"HF 4140 125 KSI ++            ",42.053,58.0299,593.580,0.000,0.000,"6.000 OD 4.500 ID .750 WALL   ",PLI,"STB13                              "
"AT06.000-04.500 HF 4140 125KSI QT                                     ",50131,6.0000,4.5000,0.7500,"HF 4140 125KSI                ",42.053,66.4558,36.499,0.000,0.000,"6.000 OD 4.500 ID  .750 WALL  ",PLI,"STB13                              "
"AT06.000-04.500 HF 4140 ANN                                           ",50599,6.0000,4.5000,0.7500,"HF 4140 ANN                   ",42.053,32.2417,17.916,0.000,0.000,"6.000 OD 4.500 ID .750 WALL   ",PLI,"STB07                              "
"AT06.000-04.500 HF 4140 LN80 QT                                       ",50223,6.0000,4.5000,0.7500,"HF 4140 LN80 QT               ",42.053,50.8248,2914.414,0.000,0.000,"6.000 OD 4.500 ID .750 WALL   ",PLI,"STB05                              "
"AT06.000-04.750 HF 4140 125KIS QT                                     ",50225,6.0000,4.7500,0.6250,"HF 4140 125KSI QT             ",35.879,46.2463,9.583,0.000,0.000,"6.000 OD 4.750 ID .625 WALL   ",PLI,"STB13                              "
"AT06.000-04.750 HF 4140 LN80 QT                                       ",50224,6.0000,4.7500,0.6250,"HF 4140 LN80 QT               ",35.879,43.1011,58.083,0.000,0.000,"6.000 OD 4.750 ID .625 WALL   ",PLI,"STB05                              "
"AT06.000-04.750 HF 4140 LN80 QT++                                     ",52036,6.0000,4.7500,0.6250,"HF 4140 LN80 QT++             ",35.879,46.7831,891.167,0.000,0.000,"6.000 OD 4.750 ID .625 WALL   ",PLI,"STB05                              "
"AT06.000-05.254 HF 4140 P110 QT MACH(5.25/5.254)                      ",50837,6.0000,5.2540,0.3730,"HF 4140 P110 QT MACH          ",22.416,0.0000,0.000,0.000,0.000,"6.000 OD 5.254 ID .373 WALL   ",PLI,"STB13                              "
"AT06.050-04.375 HF 4140 LN80 QT                                       ",50578,6.0500,4.3750,0.8375,"HF 4140 LN80 QT..             ",46.624,72.3015,1019.000,0.000,0.000,"6.050 OD 4.375 ID .838 WALL   ",PLI,"STB05                              "
"AT06.050-04.380 HF API P110 QT++                                      ",51193,6.0500,4.3800,0.8350,"HF  API P110 QT++             ",46.507,0.0000,0.000,0.000,0.000,"6.050 OD 4.380 ID .835 WALL   ",PLI,"DEFAULT                            "
"AT06.050-04.750 HF 4140 125KSI QT                                     ",50577,6.0500,4.7500,0.6500,"HF 4140 125KSI ..             ",37.487,55.2452,2950.578,0.000,0.000,"6.050 OD 4.750 ID .650 WALL   ",PLI,"STB13                              "
"AT06.050-04.750 HF 4140 125KSI QT++                                   ",52062,6.0500,4.7500,0.6500,"HF 4140 125KSI QT++..         ",37.487,49.9174,622.917,0.000,0.000,"6.050 OD 4.750 ID .650 WALL   ",PLI,"STB13                              "
"AT06.050-04.750 HF 4140 140 KSI QT                                    ",52363,6.0500,4.7500,0.6500,"HF 4140 140 KSI QT            ",37.487,0.0000,3.250,0.000,0.000,"6.050 OD 4.750 ID .650 WALL   ",PLI,"DEFAULT                            "
"AT06.050-05.050 HF API K55                                            ",51122,6.0500,5.0500,0.5000,"HF  API K55++                 ",29.637,16.1143,0.000,0.000,0.000,"6.050 OD 5.050 ID .500 WALL   ",PLI,"DEFAULT                            "
"AT06.070-04.740 HF 4130M LN80 QT                                      ",51366,6.0700,4.7400,0.6650,"HF 4130M LN80 QT              ",38.388,69.2588,0.000,0.000,0.000,"6.070 OD 4.740 ID .665 WALL   ",PLI,"DEFAULT                            "
"AT06.100-04.740 HF 4130M LN80 QT                                      ",51936,6.1000,4.7400,0.6800,"HF 4130M LN80 QT              ",39.363,0.0000,19.000,0.000,0.000,"6.100 OD 4.740 ID .680 WALL   ",PLI,"STB09                              "
"AT06.125-02.250 HF 4140 110Y NQT                                      ",51568,6.1250,2.2500,1.9380,"HF 4140 110Y NQT              ",86.651,0.0000,8.000,0.000,0.000,"6.125 OD 2.250 ID 1.938 WALL  ",PLI,"DEFAULT                            "
"AT06.125-02.940 HF 4340 125 KSI NQT                                   ",51484,6.1250,2.9400,1.5925,"HF 4340 125 KSI NQT           ",77.089,0.0000,0.000,0.000,0.000,"6.125 OD 2.940 ID 1.593 WALL  ",PLI,"DEFAULT                            "
"AT06.185-04.247 HF 4140 LN80 QT                                       ",50505,6.1850,4.2470,0.9690,"HF 4140 LN80 QT..             ",53.981,58.1976,35.917,0.000,0.000,"6.185 OD 4.247 ID .969 WALL   ",PLI,"STB05                              "
"AT06.250-01.750 HF 4130 80 KSI NQT                                    ",51408,6.2500,1.7500,2.2500,"HF 4130 80 KSI NQT            ",96.121,0.0000,2.333,0.000,0.000,"6.250 OD 1.750 ID 2.250 WALL  ",PLI,"DEFAULT                            "
"AT06.250-02.250 HF 4140 125KSI QT                                     ",51662,6.2500,2.2500,2.0000,"HF 4140 125KSI QT             ",90.781,98.3861,0.000,0.000,0.000,"6.250 OD 2.250 ID 2.000 WALL  ",PLI,"STB13                              "
"AT06.250-02.750 HF 4140 110KSI NQT                                    ",52507,6.2500,2.7500,1.7500,"HF 4140 110KSI NQT            ",84.106,0.0000,4.500,0.000,0.000,"6.250 OD 2.750 ID 1.750 WALL  ",PLI,"DEFAULT                            "
"AT06.250-02.950 HF 4340 110 KSI QT                                    ",51340,6.2500,2.9500,1.6500,"HF 4340 110 KSI QT            ",81.062,0.0000,17.750,0.000,0.000,"6.250 OD 2.950 ID 1.650 WALL  ",PLI,"DEFAULT                            "
"AT06.250-03.250 HF 4130M7  ANN                                        ",51746,6.2500,3.2500,1.5000,"HF 4130M7  ANN                ",76.096,0.0000,0.000,0.000,0.000,"6.250 OD 3.250 ID 1.500 WALL  ",PLI,"STB14                              "
"AT06.250-03.250 HF 4130M7  NQT 262/311                                ",52392,6.2500,3.2500,1.5000,"HF 4130M7  NQT 262/311        ",76.096,0.0000,6.667,0.000,0.000,"6.250 OD 3.250 ID 1.500 WALL  ",PLI,"DEFAULT                            "
"AT06.250-03.625 HF 4140 125KSI QT                                     ",51981,6.2500,3.6250,1.3125,"HF 4140 125KSI QT++           ",69.212,70.8450,8.584,0.000,14.120,"6.250 OD 3.625 ID 1.313 WALL  ",PLI,"STB13                              "
"AT06.250-03.750 HF 4130 80 KSI NQT                                    ",51269,6.2500,3.7500,1.2500,"HF  4130 80 KSI NQT           ",66.751,0.0000,0.000,0.000,0.000,"6.250 OD 3.750 ID 1.250 WALL  ",PLI,"DEFAULT                            "
"AT06.250-03.750 HF 4130M  NQT 217/255                                 ",52630,6.2500,3.7500,1.2500,"HF 4130M  NQT 217/255         ",66.751,0.0000,10.667,0.000,0.000,"6.250 OD 3.750 ID 1.250 WALL  ",PLI,"DEFAULT                            "
"AT06.250-03.750 HF 4130M 110-125KSI QT                                ",51341,6.2500,3.7500,1.2500,"HF 4130M 110-125KSI QT        ",66.751,142.7619,121.584,0.000,0.000,"6.250 OD 3.750 ID 1.250 WALL  ",PLI,"DEFAULT                            "
"AT06.250-03.750 HF 4130M 125 KSI QT                                   ",50287,6.2500,3.7500,1.2500,"HF 4130M 125 KSI              ",66.751,112.1111,2074.083,0.000,0.000,"6.250 OD 3.750 ID 1.250 WALL  ",PLI,"STB11                              "
"AT06.250-03.750 HF 4130M 125KSI QT++                                  ",52217,6.2500,3.7500,1.2500,"HF 4130M 125++                ",66.751,119.0431,2270.914,0.000,0.000,"6.250 OD 3.750 ID 1.250 WALL  ",PLI,"STB11                              "
"AT06.250-03.750 HF 4140 125 KSI                                       ",51810,6.2500,3.7500,1.2500,"HF 4140 125K++                ",66.751,92.9443,1626.087,0.000,0.000,"6.250 OD 3.750 ID 1.250 WALL  ",PLI,"STB13                              "
"AT06.250-03.750 HF 4140 125KSI QT                                     ",50045,6.2500,3.7500,1.2500,"HF 4140 125KSI                ",66.751,107.5677,1438.582,0.000,0.000,"6.250 OD 3.750 ID 1.250 WALL  ",PLI,"STB13                              "
"AT06.250-03.750 HF 4140 LN80 QT                                       ",50384,6.2500,3.7500,1.2500,"HF 4140 LN80 QT               ",66.751,63.1196,0.000,0.000,0.000,"6.250 OD 3.750 ID 1.250 WALL  ",PLI,"STB05                              "
"AT06.250-04.000 HF 4130M 110-125KSI QT                                ",50845,6.2500,4.0000,1.1250,"HF 4130M 110-125KSI QT        ",61.578,87.9438,11.083,0.000,0.000,"6.250 OD 4.000 ID 1.125 WALL  ",PLI,"DEFAULT                            "
"AT06.250-04.000 HF 4130M 125KSI QT                                    ",50286,6.2500,4.0000,1.1250,"HF 4130M 125KSI               ",61.578,86.6124,862.918,315.416,0.000,"6.250 OD 4.000 ID 1.125 WALL  ",PLI,"ES-MA-174-3                        "
"AT06.250-04.000 HF 4130M 125KSI QT/SR                                 ",50893,6.2500,4.0000,1.1250,"HF 4130M 125KSI QT/SR         ",61.578,89.0501,6.667,0.000,0.000,"6.250 OD 4.000 ID 1.125 WALL  ",PLI,"STB11                              "
"AT06.250-04.000 HF 4340  NQT 255/300                                  ",52286,6.2500,4.0000,1.1250,"HF 4340  NQT 255/300          ",61.578,0.0000,4.667,0.000,0.000,"6.250 OD 4.000 ID 1.125 WALL  ",PLI,"DEFAULT                            "
"AT06.250-04.250 HF 4130M 125 KSI QT                                   ",50546,6.2500,4.2500,1.0000,"HF 4130M 125..                ",56.071,74.6182,771.834,0.000,0.000,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"ES-MA-174-3                        "
"AT06.250-04.250 HF 4130M P110 QT                                      ",50133,6.2500,4.2500,1.0000,"HF 4130M P110..               ",56.071,91.3477,1887.748,0.000,0.000,"6.250 OD 4.250 ID  1.000 WALL ",PLI,"ES-MA-174-2                        "
"AT06.250-04.250 HF 4140  NQT                                          ",51906,6.2500,4.2500,1.0000,"HF 4140 NQT 262-302           ",56.071,0.0000,9.000,0.000,0.000,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"DEFAULT                            "
"AT06.250-04.250 HF 4140  NQT 301/352                                  ",52561,6.2500,4.2500,1.0000,"HF 4140  NQT 301/352          ",56.071,0.0000,7.917,0.000,0.000,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"DEFAULT                            "
"AT06.250-04.250 HF 4140 125KSI QT                                     ",50226,6.2500,4.2500,1.0000,"HF 4140 125KSI.               ",56.071,62.6769,623.246,0.000,5.833,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"STB13                              "
"AT06.250-04.250 HF 4140 125KSI QT++                                   ",52150,6.2500,4.2500,1.0000,"HF 4140 125KSI QT++.          ",56.071,78.3752,591.668,0.000,0.000,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"STB13                              "
"AT06.250-04.250 HF 4140 LN80 QT                                       ",50385,6.2500,4.2500,1.0000,"HF 4140 LN80 QT..             ",56.071,82.4397,682.915,0.000,17.188,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"STB05                              "
"AT06.250-04.250 HF 4340 125 KSI NQT                                   ",52333,6.2500,4.2500,1.0000,"HF 4340 125 KSI NQT           ",56.071,0.0000,0.000,0.000,0.000,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"DEFAULT                            "
"AT06.250-04.250 HF 4340 150 KSI NQT                                   ",52395,6.2500,4.2500,1.0000,"HF 4340 150 KSI NQT           ",56.071,0.0000,2.583,0.000,0.000,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"DEFAULT                            "
"AT06.250-04.250 HF API C110                                           ",52733,6.2500,4.2500,1.0000,"HF API C110                   ",56.071,0.0000,6.583,0.000,0.000,"6.250 OD 4.250 ID 1.000 WALL  ",PLI,"DEFAULT                            "
"AT06.250-04.500 HF 4130 LN80 QT                                       ",50202,6.2500,4.5000,0.8750,"HF 4130 LN80 QT               ",50.230,44.8269,0.000,0.000,0.000,"6.250 OD 4.500 ID .875 WALL   ",PLI,"STB01                              "
"AT06.250-04.500 HF 4140  QT 327/371                                   ",51726,6.2500,4.5000,0.8750,"HF 4140  327/371..            ",50.230,61.3603,13.166,0.000,0.000,"6.250 OD 4.500 ID .875 WALL   ",PLI,"DEFAULT                            "
"AT06.250-04.500 HF 4140 125KSI QT                                     ",52063,6.2500,4.5000,0.8750,"HF 4140 125KSI QT++           ",50.230,68.3600,0.000,0.000,0.000,"6.250 OD 4.500 ID .875 WALL   ",PLI,"STB13                              "
"AT06.250-04.500 HF 4140 125KSI QT                                     ",50227,6.2500,4.5000,0.8750,"HF 4140 125KSI QT             ",50.230,56.3408,1312.665,0.000,0.000,"6.250 OD 4.500 ID .875 WALL   ",PLI,"STB13                              "
"AT06.250-04.500 HF 4140 LN80 QT                                       ",50381,6.2500,4.5000,0.8750,"HF 4140 LN80 QT..             ",50.230,60.8900,1444.833,0.000,0.000,"6.250 OD 4.500 ID .875 WALL   ",PLI,"STB05                              "
"AT06.250-04.520 HF 4130M 125KSI QT                                    ",52295,6.2500,4.5200,0.8650,"HF 4130M 125KSI QT            ",49.748,0.0000,13.500,0.000,0.000,"6.250 OD 4.520 ID .865 WALL   ",PLI,"DEFAULT                            "
"AT06.250-04.750 HF 4130M 110/125KSI QT                                ",50792,6.2500,4.7500,0.7500,"HF 4130M 110/125..            ",44.056,45.5774,307.833,0.000,0.000,"6.250 OD 4.750 ID .750 WALL   ",PLI,"STB10                              "
"AT06.250-04.750 HF 4130M 125 KSI QT                                   ",50134,6.2500,4.7500,0.7500,"HF 4130M 125 KSI..            ",44.056,69.0293,2188.750,0.000,0.000,"6.250 OD 4.750 ID .750 WALL   ",PLI,"ES-MA-174-3                        "
"AT06.250-04.750 HF 4130M 140 KSI                                      ",51817,6.2500,4.7500,0.7500,"HF 4130M 140 KSI..            ",44.056,104.6857,0.000,0.000,0.000,"6.250 OD 4.750 ID .750 WALL   ",PLI,"DEFAULT                            "
"AT06.250-04.750 HF 4130M 150 KSI QT                                   ",51218,6.2500,4.7500,2.7500,"HF  4130M 150 KSI QT          ",44.056,0.0000,16.417,0.000,0.000,"6.250 OD 4.750 ID 2.750 WALL  ",PLI,"DEFAULT                            "
"AT06.250-04.750 HF 4140 125KSI QT                                     ",50228,6.2500,4.7500,0.7500,"HF 4140 125KSI.               ",44.056,68.3633,1378.581,0.000,32.750,"6.250 OD 4.750 ID .750 WALL   ",PLI,"STB13                              "
"AT06.250-04.750 HF 4140 125KSI QT++                                   ",52131,6.2500,4.7500,0.7500,"HF 4140 125KSI QT++.          ",44.056,59.0720,25.333,0.000,1.644,"6.250 OD 4.750 ID .750 WALL   ",PLI,"STB13                              "
"AT06.250-04.813 HF 4130M7 125 KSI QT                                  ",51157,6.2500,4.8125,0.7190,"HF  4130M7 125..              ",42.460,28.0122,6.750,0.000,0.000,"6.250 OD 4.813 ID .719 WALL   ",PLI,"DEFAULT                            "
"AT06.250-05.000 HF 4140 125KSI QT                                     ",50229,6.2500,5.0000,0.6250,"HF 4140 125KSI QT             ",37.547,51.0168,214.583,528.000,0.000,"6.250 OD 5.000 ID .625 WALL   ",PLI,"STB13                              "
"AT06.260-03.610 HF API T95 QT                                         ",51337,6.2600,3.6100,1.3250,"HF API T95 QT                 ",69.836,0.0000,3.500,0.000,0.000,"6.260 OD 3.610 ID 1.325 WALL  ",PLI,"DEFAULT                            "
"AT06.300-03.875 HF 4140 125-140KSI QT                                 ",51815,6.3000,3.8750,1.2130,"HF 4140 125-140KSI QT         ",65.882,90.2694,2455.418,0.000,2417.000,"6.300 OD 3.875 ID 1.213 WALL  ",PLI,"STB13                              "
"AT06.300-03.875 HF 4140 125KSI++                                      ",52208,6.3000,3.8750,1.2100,"HF 4140 125KSI++              ",65.882,85.6140,2630.914,0.000,3165.000,"6.300 OD 3.875 ID 1.210 WALL  ",PLI,"DEFAULT                            "
"AT06.300-04.000 HF 4140 125 KSI QT 30-36RC                            ",51914,6.3000,4.0000,1.1500,"HF 4140 125 KSI QT            ",63.253,0.0000,0.000,0.000,0.000,"6.300 OD 4.000 ID 1.150 WALL  ",PLI,"DEFAULT                            "
"AT06.300-04.120 HF 4140 125KSI++                                      ",52207,6.3000,4.1200,1.0900,"HF 4140 125KSI++              ",60.652,77.5971,2047.501,0.000,0.000,"6.300 OD 4.120 ID 1.090 WALL  ",PLI,"DEFAULT                            "
"AT06.300-04.125 HF 4140 125-140KSI QT                                 ",51814,6.3000,4.1250,1.0880,"HF 4140 125-140KSI QT         ",60.541,83.1005,599.166,0.000,0.000,"6.300 OD 4.125 ID 1.088 WALL  ",PLI,"STB13                              "
"AT06.300-04.125 HF 4140 125KSI QT++                                   ",52130,6.3000,4.1250,1.0880,"HF 4140 125KSI QT++           ",60.541,76.6655,2486.751,0.000,409.001,"6.300 OD 4.125 ID 1.088 WALL  ",PLI,"STB13                              "
"AT06.300-04.500 HF 4140 125KSI QT                                     ",51917,6.3000,4.5000,0.9000,"HF 4140 125KSI..              ",51.906,83.4292,1262.583,0.000,0.458,"6.300 OD 4.500 ID .900 WALL   ",PLI,"STB13                              "
"AT06.300-04.500 HF 4140 125KSI QT++                                   ",52166,6.3000,4.5000,0.9000,"HF 4140 125KSI++..            ",51.906,71.9862,0.000,0.000,0.000,"6.300 OD 4.500 ID .900 WALL   ",PLI,"STB13                              "
"AT06.375-04.063 HF 4130M7 125 KSI QT                                  ",50942,6.3750,4.0630,1.1560,"HF 4130M7 125..               ",64.435,70.4353,34.001,0.000,0.000,"6.375 OD 4.063 ID 1.156 WALL  ",PLI,"DEFAULT                            "
"AT06.375-04.063 HF 4130M7 T95 NQT                                     ",51608,6.3750,4.0630,1.1560,"HF 4130M7 T95..               ",64.435,118.9278,14.250,0.000,0.000,"6.375 OD 4.063 ID 1.156 WALL  ",PLI,"DEFAULT                            "
"AT06.375-04.740 HF 4130M LN80 QT                                      ",50883,6.3750,4.7400,0.8175,"HF 4130M LN80 QT              ",48.523,88.5920,0.000,0.000,0.000,"6.375 OD 4.740 ID .818 WALL   ",PLI,"STB09                              "
"AT06.500-02.468 HF 4140 P110 NQT                                      ",51307,6.5000,2.4680,2.0160,"HF  4140 P110 NQT             ",96.546,0.0000,0.000,0.000,0.000,"6.500 OD 2.468 ID 2.016 WALL  ",PLI,"STB13                              "
"AT06.500-02.500 HF 4130M7  AR                                         ",52246,6.5000,2.5000,2.0000,"HF 4130M7  AR                 ",96.121,161.1247,0.000,0.000,0.000,"6.500 OD 2.500 ID 2.000 WALL  ",PLI,"STB14                              "
"AT06.500-02.500 HF 4130M7  NQT 277/326                                ",51977,6.5000,2.5000,2.0000,"HF 4130M7  NQT 277/326        ",96.121,219.6159,78.083,0.000,3.333,"6.500 OD 2.500 ID 2.000 WALL  ",PLI,"DEFAULT                            "
"AT06.500-02.972 HF 4130 75 KSI NQT                                    ",51330,6.5000,2.9720,1.7640,"HF 4130 75 KSI NQT            ",89.225,0.0000,0.000,0.000,0.000,"6.500 OD 2.972 ID 1.764 WALL  ",PLI,"DEFAULT                            "
"AT06.500-03.250 HF 4130 LN80 NQT                                      ",50686,6.5000,3.2500,1.6250,"HF 4130 LN80 NQT              ",84.607,0.0000,0.000,0.000,0.000,"6.500 OD 3.250 ID 1.625 WALL  ",PLI,"STB01                              "
"AT06.500-03.250 HF 4130M7 NQT 217/255                                 ",52514,6.5000,3.2500,1.6250,"HF 4130M7 NQT 217/255         ",84.607,0.0000,8.083,0.000,0.000,"6.500 OD 3.250 ID 1.625 WALL  ",PLI,"DEFAULT                            "
"AT06.500-03.375 HF 4130 80 KSI NQT                                    ",52504,6.5000,3.3750,1.5620,"HF 4130 80 KSI NQT            ",82.396,0.0000,18.750,0.000,0.000,"6.500 OD 3.375 ID 1.562 WALL  ",PLI,"STB01                              "
"AT06.500-03.500 HF 4140 125KSI QT                                     ",50046,6.5000,3.5000,1.5000,"HF 4140 125KSI ..             ",80.101,129.5861,1508.833,0.000,0.000,"6.500 OD 3.500 ID 1.500 WALL  ",PLI,"STB13                              "
"AT06.500-03.500 HF 4140 125KSI QT++                                   ",52064,6.5000,3.5000,1.5000,"HF 4140 125++..               ",80.101,110.3290,511.412,0.000,102.001,"6.500 OD 3.500 ID 1.500 WALL  ",PLI,"STB13                              "
"AT06.500-03.500 HF 4140 L80 QT                                        ",51657,6.5000,3.5000,1.5000,"HF 4140 L80 QT                ",80.101,124.5659,224.832,484.000,0.000,"6.500 OD 3.500 ID 1.500 WALL  ",PLI,"STB05                              "
