IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AT17.500-14.500 HF 4140 LN80 QT                                       ",50683,17.5000,14.5000,1.5000,"HF 4140 LN80 QT               ",256.324,0.0000,0.000,0.000,0.000,17.500 OD 14.500 ID 1.500 WALL,PLI,"STB05                              "
"AT18.000-03.500 HF 8630  NORM                                         ",51953,18.0000,3.5000,7.2500,"HF 8630 NORM                  ",832.385,0.0000,1.333,0.000,0.000,"18.000 OD 3.500 ID 7.250 WALL ",PLI,"DEFAULT                            "
"AT18.000-04.000 HF 4330V AF                                           ",51016,18.0000,4.0000,7.0000,"HF 4330V AF..                 ",822.372,1120.1761,15.416,0.000,0.000,"18.000 OD 4.000 ID 7.000 WALL ",PLI,"DEFAULT                            "
"AT18.000-04.000 HF 4330V NQT                                          ",51017,18.0000,4.0000,7.0000,"HF 4330V NQT                  ",822.372,1488.0564,0.583,0.000,0.000,"18.000 OD 4.000 ID 7.000 WALL ",PLI,"DEFAULT                            "
"AT18.000-06.750 HF 8630 125KSI NQT                                    ",52536,18.0000,6.7500,5.6250,"HF 8630 125KSI NQT            ",743.439,1981.6487,8.000,0.000,0.000,"18.000 OD 6.750 ID 5.625 WALL ",PLI,"DEFAULT                            "
"AT18.000-06.750 HF 8630 AR                                            ",52532,18.0000,6.7500,5.6250,"HF 8630 AR                    ",743.439,1492.1599,0.000,0.000,0.000,"18.000 OD 6.750 ID 5.625 WALL ",PLI,"DEFAULT                            "
"AT18.000-09.750 HF 4130 75 KSI NQT++                                  ",52220,18.0000,9.7500,4.1250,"HF 4130 75 KSI NQT++          ",611.272,0.0000,0.000,0.000,0.000,"18.000 OD 9.750 ID 4.125 WALL ",PLI,"DEFAULT                            "
"AT18.000-09.750 HF 4130 80KSI NQT                                     ",50988,18.0000,9.7500,4.1250,"HF 4130 80KSI NQT             ",611.272,0.0000,0.000,0.000,0.000,"18.000 OD 9.750 ID 4.125 WALL ",PLI,"STB01                              "
"AT18.000-12.000 HF 4140 AR                                            ",52737,18.0000,12.0000,3.0000,"HF 4140 AR                    ",480.607,0.0000,3.667,0.000,0.000,18.000 OD 12.000 ID 3.000 WALL,PLI,"DEFAULT                            "
"AT18.000-13.875 HF 4130 75 KSI NQT                                    ",51602,18.0000,13.8750,2.0620,"HF 4130 75 KSI NQT            ",351.068,0.0000,0.000,0.000,0.000,18.000 OD 13.875 ID 2.062 WALL,PLI,"DEFAULT                            "
"AT18.000-14.000 HF 4130M 110 KSI NQT++                                ",51381,18.0000,14.0000,2.0000,"HF 4130M 110 KSI NQT++        ",341.765,623.8747,194.584,0.000,40.583,"18.00 OD 14.00 ID 2.00 WALL   ",PLI,"STB10                              "
