QueryName,Order_districtPlusTransaction,Salesman_Name_____SMNAME,Order_Type_____OOTYPE,Customer_DistrictPlusCustomer,Customer_Alpha_Name_____CALPHA,InvoiceDate_OOI,ITEM_NUMBER_____ODITEM,Ship_To_Vendor_#_____BSSVEN,Multiple_SPO_____BSSPS#
"Sales analysis, SPO",1951384,LACEY CORTEZ   ,A,100286,OLYMPIAN MACHINE LLC               ,20240425,51648,218.0,1.0
"Sales analysis, SPO",1951384,LACEY CORTEZ   ,A,100286,OLYMPIAN MACHINE LLC               ,20240425,51648,119.0,2.0
"Sales analysis, SPO",1951388,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240510,50015,465.0,1.0
"Sales analysis, SPO",1951388,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240510,50015,121.0,2.0
"Sales analysis, SPO",1951388,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240510,50015,307.0,3.0
"Sales analysis, SPO",1951388,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240510,50015,119.0,4.0
"Sales analysis, SPO",1951394,LACEY CORTEZ   ,A,100286,OLYMPIAN MACHINE LLC               ,20240416,50573,168.0,1.0
"Sales analysis, SPO",1951395,DARREL THORMER ,A,100195,K & B INDUSTRIES                   ,20240423,52555,121.0,3.0
"Sales analysis, SPO",1951395,DARREL THORMER ,A,100195,K & B INDUSTRIES                   ,20240423,52555,168.0,1.0
"Sales analysis, SPO",1951396,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,52069,684.0,1.0
"Sales analysis, SPO",1951396,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,52069,465.0,2.0
"Sales analysis, SPO",1951397,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,51153,684.0,1.0
"Sales analysis, SPO",1951397,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,51153,465.0,2.0
"Sales analysis, SPO",1951430,CHRIS SITKA    ,A,100131,CNC MANUFACTURING                  ,20240417,50967,121.0,1.0
"Sales analysis, SPO",1951436,CHRIS SITKA    ,A,100235,RYERSON                            ,20240415,50318,168.0,1.0
"Sales analysis, SPO",1951442,MURRAY KAMMERER,A,100163,ANVIL MACHINE LTD                  ,20240417,52215,465.0,1.0
"Sales analysis, SPO",1951486,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,52548,465.0,1.0
"Sales analysis, SPO",1951486,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240426,52548,119.0,2.0
"Sales analysis, SPO",1951490,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240503,50609,465.0,1.0
"Sales analysis, SPO",1951490,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240503,50609,121.0,2.0
"Sales analysis, SPO",1951490,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240503,50609,119.0,3.0
"Sales analysis, SPO",1951497,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240425,51632,684.0,1.0
"Sales analysis, SPO",1951497,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240425,51632,465.0,2.0
"Sales analysis, SPO",1951498,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,50144,684.0,1.0
"Sales analysis, SPO",1951498,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240423,50144,465.0,2.0
"Sales analysis, SPO",1951499,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20240411,50171,119.0,1.0
"Sales analysis, SPO",1951531,DAVID POPHAM   ,A,101358,TEEJAY MACHINE CO LLC              ,20240415,52367,465.0,1.0
"Sales analysis, SPO",1951533,LACEY CORTEZ   ,B,100286,OLYMPIAN MACHINE LLC               ,20240419,BTUBE,121.0,1.0
"Sales analysis, SPO",1951549,MURRAY KAMMERER,A,100163,ANVIL MACHINE LTD                  ,20240417,52215,465.0,1.0
"Sales analysis, SPO",1951550,MURRAY KAMMERER,A,100163,ANVIL MACHINE LTD                  ,20240417,52215,465.0,1.0
