IOITEM_ItemNumber,IOBPRC_BasePrice
51428,1.5700
51430,2.5000
51431,0.0000
51432,0.0000
51433,2.2500
51434,1.9500
51435,6.4400
51436,0.0000
51437,0.0000
51438,0.0000
51439,0.0000
51440,1.8500
51441,0.0000
51442,0.0000
51443,1.1800
51444,2.6500
51445,2.0000
51446,0.0000
51447,0.0000
51448,0.0000
51449,0.0000
51450,0.0000
51451,2.2500
51452,1.5500
51453,0.0000
51454,2.2500
51455,0.0000
51456,0.0000
51457,0.0000
51458,0.0000
51459,0.0000
51460,2.0500
51461,0.0000
51462,2.8000
51463,2.0900
51464,2.5000
51465,1.8000
51466,0.0000
51467,0.0000
51468,0.0000
51469,0.0000
51470,2.2500
51471,2.0000
51472,0.0000
51473,1.2500
51474,0.0000
51475,0.0000
51476,0.0000
51477,0.0000
51478,0.0000
51479,0.0000
51480,0.0000
51481,0.0000
51482,0.0000
51483,0.0000
51484,2.2500
51485,0.0000
51486,2.9000
51487,0.0000
51488,2.2500
51489,2.2500
51490,0.0000
51491,0.0000
51492,0.0000
51493,2.3100
51494,0.0000
51495,2.6000
51496,2.9000
51497,0.0000
51498,0.0000
51499,0.0000
51500,0.0000
51501,2.1000
51502,1.8500
51503,2.2000
51504,2.2500
51505,1.3000
51506,2.0300
51507,2.1500
51508,0.0000
51509,2.2500
51510,0.0000
51511,0.0000
51512,0.0000
51513,0.0000
51514,0.0000
51515,0.0000
51516,0.0000
51517,0.0000
51518,0.0000
51519,0.0000
51520,1.4800
51521,1.8500
51522,0.0000
51523,2.2500
51524,0.0000
51525,1.0900
51526,2.8500
51527,3.9700
51528,3.7300
51529,0.0000
51530,2.0000
51531,0.0000
51532,2.2500
51533,0.0000
51534,0.0000
51535,0.0000
51536,0.0000
51537,0.0000
51538,0.0000
51539,0.0000
51540,0.0000
51541,0.0000
51542,1.3000
51543,1.1300
51544,0.0000
51545,0.0000
51546,2.0500
51547,0.9300
51548,0.0000
51549,0.0000
51550,0.0000
51551,2.3500
51552,0.0000
51553,2.2500
51554,1.5000
51555,0.0000
51556,0.0000
51557,1.5000
51558,0.0000
51559,0.0000
51560,0.0000
51561,0.0000
51562,0.0000
51563,0.0000
51564,0.0000
51565,0.0000
51566,0.0000
51567,2.1500
51568,2.2500
51569,2.2500
51570,1.5000
51571,0.0000
51572,0.0000
51573,0.0000
51574,0.0000
51575,0.0000
51576,1.7300
51577,1.1700
51578,1.6100
51579,0.0000
51580,0.0000
51582,0.0000
51583,0.0000
51584,0.0000
51585,0.0000
51586,0.0000
51588,2.1500
51589,2.2500
51590,3.6500
51591,3.6500
51592,2.0500
51593,2.2500
51594,0.0000
51596,1.0200
51597,0.0000
51598,2.0000
51599,0.0000
51600,0.0000
51601,1.8300
51602,0.0000
51603,0.0000
51604,2.0000
51605,0.0000
51606,0.0000
51607,0.0000
51608,0.0000
51610,4.9500
51611,0.0000
51612,0.0000
51613,0.0000
51614,2.2500
51615,0.0000
51616,0.0000
51617,0.0000
51618,0.0000
51619,0.0000
51620,0.0000
51621,0.0000
51622,1.4000
51623,0.0000
51624,0.0000
51625,0.0000
51626,0.0000
51627,0.0000
51628,0.0000
51629,0.0000
51630,0.0000
51631,2.1000
51632,2.5000
51633,2.5000
51634,0.0000
51635,0.0000
51636,0.0000
51637,0.0000
51638,1.9000
51639,2.5000
51640,1.6500
51641,1.9500
51642,2.2500
51643,0.0000
51644,0.0000
51645,0.0000
51646,0.0000
51647,0.0000
51648,2.6000
51649,0.0000
51650,0.0000
51651,0.0000
51652,5.0000
51653,0.0000
51654,0.0000
51655,0.0000
51656,0.0000
51657,1.8500
51658,0.0000
51659,0.0000
51660,0.0000
51661,0.0000
51662,2.2500
51663,0.0000
51664,0.0000
51665,0.0000
51666,0.0000
51667,0.0000
51668,0.0000
51669,2.0500
51671,2.3000
51672,0.0000
51673,4.2000
51674,0.0000
51675,0.0000
51676,2.1000
51677,0.0000
51678,0.0000
51679,0.0000
51680,0.0000
51681,0.0000
51682,0.0000
51683,0.0000
51684,0.0000
51685,0.0000
51686,2.4500
51687,0.0000
51688,5.3500
51689,0.0000
51691,0.0000
51692,6.6300
51693,0.0000
51694,0.0000
51695,0.0000
51696,0.0000
51697,0.0000
51698,2.2500
51699,0.0000
51700,0.0000
51701,0.0000
51702,0.0000
51703,1.5500
51704,1.9700
51705,0.0000
51706,0.0000
51707,0.0000
51708,0.0000
51709,1.3000
51710,0.0000
51711,0.0000
51712,0.0000
51713,0.0000
51714,0.0000
51715,0.0000
51716,0.0000
51717,0.0000
51718,0.0000
51719,0.0000
51720,1.0800
51721,1.2100
51722,1.3000
51723,2.2500
51724,0.0000
51725,1.8000
51726,2.2500
51727,1.9000
51728,0.0000
51729,0.0000
51731,0.0000
51732,2.1100
51733,0.0000
51734,0.0000
51735,1.8000
51736,0.0000
51737,0.0000
51738,1.8500
51741,2.0000
51742,2.0000
51743,0.0000
51744,0.0000
51745,2.5500
51746,2.2500
51747,1.7500
51748,1.8100
51749,2.0000
51750,0.0000
51751,0.0000
51752,0.0000
51753,1.3000
51754,0.0000
51755,0.0000
51756,1.7500
51757,1.9000
51758,1.7000
51759,0.0000
51760,0.0000
51761,0.0000
51764,2.0000
51765,2.7500
51766,2.5000
51767,0.0000
51768,0.0000
51769,2.5000
51770,0.0000
51772,2.3500
51773,0.0000
51774,0.8500
51775,1.8000
51776,0.0000
51777,0.0000
51778,0.0000
51779,0.0000
51780,3.6900
51781,1.6900
51782,3.9000
51783,0.0000
51785,0.0000
51786,0.0000
51787,0.0000
51788,0.0000
51789,0.0000
51790,3.4400
51791,0.0000
51792,0.0000
51793,0.0000
51794,1.6000
51796,2.5000
51797,2.8700
51798,0.0000
51799,2.1500
51800,1.3000
51801,1.5000
51802,2.6500
51803,1.3000
51804,2.2500
51805,1.3000
51806,0.0000
51807,1.7000
51808,1.8500
51810,1.8500
51811,1.6500
51809,2.0000
51812,2.2500
51813,2.5100
51814,2.2500
51815,2.2500
51816,0.0000
51817,0.0000
51818,2.2500
51819,2.0000
51820,0.0000
51821,1.8500
51822,0.0000
51823,3.9000
51824,1.5300
51825,0.0000
51827,0.0000
51828,0.0000
51829,0.0000
51830,1.7500
51831,2.2500
51832,1.6700
51834,0.0000
51835,2.5000
51836,1.3500
51837,2.6500
51838,0.0000
51839,1.9500
51840,0.0000
51841,2.7500
51842,1.5000
51843,2.2500
51844,2.0000
51845,1.8000
51846,1.5000
51847,1.6000
