Time_Stamp_____ITTIMES,Text,133623,Distinct: 133623,"2022-01-19 18:55:20.000, 2022-01-19 18:55:20.000, 2022-01-19 18:55:20.000, 2022-01-19 18:55:20.000, 2022-01-19 18:55:20.000",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Transaction_#_____ITTRN#,Text,105878,Distinct: 105878,"508420.0, 19057.0, 515442.0, 13908.0, 21366.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Transaction_Receipt/_Restock_Line_Number_____ITRLIN,Text,31,Distinct: 31,"1.0, 0.0, 2.0, 2.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Transaction_Tag_Receipt_Sequence_Number_____ITSEQ#,Text,115,Distinct: 115,"1.0, 1.0, 2.0, 1.0, 1.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Transaction_Used_Line_Number_____ITULIN,Text,32,Distinct: 32,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Vendor#_____ITVNDR,Text,163,Distinct: 163,"130.0, 167.0, 0.0, 0.0, 130.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Vendor_Quantity_____ITVQTY,Text,6404,Distinct: 6404,"12.917, 15.583, 2.3330000000000002, 47.167000000000002, 4.8330000000000002",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Warehouse_Loc_____ITLOCT,Text,100009,Distinct: 100009,"1910351, 1SB33  , 1955905, 1935709, 1904088",nvarchar,(MAX),289140,0,36,0.00%,0.01%,0,4
Weight_Factor_____ITWGTF,Text,6859,Distinct: 6859,"5.55371901, 1.5992424700000001, 0.34766141, 5.93805681, 17.80026398",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Birnell_Scale_High_Value_____ITBRNL,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
BUILD-UP_FLAG_____ITBLDF,Single Value,1,N (6468)," ,  ,  ,  ,  ",nvarchar,(MAX),289140,0,282672,0.00%,97.76%,0,7
BUILD-UP_SEQ#_____ITBLD#,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
COATING_VALUE_____ITCTV,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
Coil_Piece_PIW_____ITCPIW,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
COMMRCL_STATUS_DATE_____ITCMD,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
Deleted_by_Tag_Maintenance_____ITDELF,Single Value,1,Y (2832)," ,  ,  ,  ,  ",nvarchar,(MAX),289140,0,286308,0.00%,99.02%,0,7
DISTRICT_NUMBER_____ITDIST,Single Value,1,1.0 (289140),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
FERGUSON_MISC_FIELD_____ITMISC,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
Flag_____ITPRNT,Single Value,1,N (6679)," ,  ,  ,  ,  ",nvarchar,(MAX),289140,0,282461,0.00%,97.69%,0,7
FORMATTED_OD_____ITFMOD,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
IN_LINE_GAUGE_READING_AVE_____ITIGRA,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
IN_LINE_GAUGE_READING_HIGH_____ITIGRH,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
IN_LINE_GAUGE_READING_LOW_____ITIGRL,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
IN_TRANSIT_VESSEL_____ITTRNV,Single Value,1,0.0 (289140),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,7
