Purchase_Discount_Flag_____IOPDSC,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Qty_In_Transit_____IOQIT,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Quality_Hold_Qty_____IOQQTY,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
R/I_Coil_Piece_Count_____IORIQC,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
R/I_In_Transit_Qty_____IORIT,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
R/I_On_Order_Rsrvd_____IOROOR,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
R/S_Code_Default_MP_____IORSMP,Single Value,1,R (2612),"R, R, R, R, R",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
RANGE_=_0_3_DIST._CTL_____IODISC,Single Value,1,1 (1)," ,  ,  ,  ,  ",nvarchar,(MAX),2612,0,2611,0.00%,99.96%,0,7
Rebate_Cost_____IORBCS,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Reorder_Factor_____IOROFC,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Reorder_Point_____IOROPT,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Reorder_Point_Lock_____IOROPL,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Reorder_Quantity_____IOROQT,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Replacement_Cost_Lock_____IORLCK,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Restock_Code_Lock_MP_____IOMPLK,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Restock_Code_Lock_OE_____IOOELK,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Restocking_Code_Default_____IORSTK,Single Value,1,O (2612),"O, O, O, O, O",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Run_Time_Rate_____IORUNR,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Safety_Stock_Qty_____IOSSTK,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Set_Up_Date_Century_____IOSUCC,Single Value,1,20.0 (2612),"20.0, 20.0, 20.0, 20.0, 20.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Special_Sale_Item_____IOSALE,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Standard_Cost_____IOSCST,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Standard_Cost_Century_____IOSCCC,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Standard_Cost_Day_____IOSCDD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Standard_Cost_Lock_Flag_____IOSTCL,Single Value,1,N (2612),"N, N, N, N, N",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Standard_Cost_Month_____IOSCMM,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Standard_Cost_Year_____IOSCYY,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Std_Frt-In_Cost_____IOFCST,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Stock_Out_Reserve_OEs_____IOSTOR,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Taxable_____IOTAX,Single Value,1,Y (2612),"Y, Y, Y, Y, Y",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Total_Open_P.O_DOLLARS_____IOOPPD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Total_Open_P.Os_____IOOPPO,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Total_Requisition_Quantity_____IOTORQ,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Transfer_Reserve_____IOTRRS,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Unreserved_Held_____IOQHLD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
VALUES_C_/_D_____IOOWNF,Single Value,1,D (2612),"D, D, D, D, D",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
VALUES_M_/_S_____IOMTST,Single Value,1,M (2612),"M, M, M, M, M",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
YTD_Line_Trans._Ctr_____IOYTDL,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Zero_Report_Counter_____IOZ,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
A=ACTIVE__I=INACTIVE_D=DELETED_____IORECD,Flag (%RECD),2,"A (2564), I (48)","A, A, A, A, A",nvarchar,(MAX),2612,0,0,0.00%,0.00%,Flag,8
A/R_Customer_Number_____IOCUST,Flag (2 Values),2,"0.0 (2611), 157.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,Flag,10
Base_Price_Century_____IOBPCC,Flag (2 Values),2,"0.0 (1552), 20.0 (1060)","0.0, 0.0, 0.0, 20.0, 20.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,Flag,10
Company_Product_Movement_Code_____IOCPMC,Flag (2 Values),2,"A (2611), B (1)","A, A, A, A, A",nvarchar,(MAX),2612,0,0,0.00%,0.00%,Flag,10
Counter_Price_____IOCNTP,Flag (2 Values),2,"0.0 (2611), 1.8500000000000001 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,Flag,10
Customer_District_Number_____IOCDIS,Flag (2 Values),2,"0.0 (2611), 1.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,Flag,10
