COLUMN,TYPE,DISTINCT VALUES,SAMPLE DATA,VALUES INFO (TOP N / RANGE / SINGLE),DB DATA TYPE,DB TYPE DETAILS,TOTAL ROWS,NULL COUNT,WHITESPACE-ONLY COUNT,NUL PCT,WHITESPACE PCT,IS UNIQUE / FLAG,SORTORDER
ORDERED_WHOLE_INCHES_____ODINCH,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
Percent_of_Price_____ODABCP,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
PO_LINE#_SEQ#_____ODPOLS,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
PO_WHOLE_ORDER_CHARGE_CST_EXT_____ODPOWC,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
Print_Seq#_____ODPSQ#,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
RELEASE_CREATION_DATE_____ODRCDT,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
REMOTE_INVENTORY_VENDOR_____ODVNDR,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
REQ_SHIP_DATE_____ODRSDT,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
REQ_SHIP_TIME_____ODRSTM,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
Reservation_Balance_____ODRBAL,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
RESTOCK_LINES_Y/N_____ODRLF,Single Value,1,N (137876),"N, N, N, N, N",nvarchar,(MAX),151243,0,13367,0.00%,8.84%,0,7
SLIT_COIL_/_SHEET_ANALYSIS_FLAG_____ODSLIT,Single Value,1,S (20507)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,130736,0.00%,86.44%,0,7
Taxable_____ODTAX,Single Value,1,Y (151227),"Y, Y, Y, Y, Y",nvarchar,(MAX),151243,0,16,0.00%,0.01%,0,7
TOTAL_FTS_____ODPFTS,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
TOTAL_INCL_1_PRICE_WHOLE_ORDER_CHARGES_____ODMLWC,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
TOTAL_SQUARE_FT_____ODPSFT,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
ZERO_STOCK_FOUND___Y/N_____ODZ,Single Value,1,N (3183)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,148060,0.00%,97.90%,0,7
COST_METHOD_____ODCSTM,Flag (2 Values),2,"1 (151212), 3 (30)","1, 1, 1, 1, 1",nvarchar,(MAX),151243,0,1,0.00%,0.00%,Flag,10
COMBINABLE_CODE_____ODCBNC,FK/Code (Potential),0,N/A,"  ,   ,   ,   ,   ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,2
CUSTOMER_LINE#_SEQ#_____ODCLSQ,Flag (2 Values),2,"0.0 (151242), 2.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,Flag,10
DESCRIPTION_CHANGED_FLAG_(Y/N)_____ODFLAG,Flag (2 Values),2,"* (37230), Y (14)"," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,113999,0.00%,75.37%,Flag,10
INBOUND_LINE_NUMBER_____ODIBLN,Flag (2 Values),2,"0.0 (144014), 1.0 (7229)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,Flag,10
INBOUND_ORDER_DISTRICT_____ODIBOD,Flag (2 Values),2,"0.0 (144014), 1.0 (7229)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,Flag,10
NUMBER_OF_CERTS_____ODCERT,Flag (2 Values),2,"0.0 (151235), 1.0 (8)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,Flag,10
NUMBER_OF_MILL_TESTS_____ODMILT,Flag (2 Values),2,"0.0 (151236), 1.0 (7)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,Flag,10
ORIGINAL_PRICE_METHOD_____ODOPMT,Flag (2 Values),2,"N (77039), L (68605)","L, L, L, N, L",nvarchar,(MAX),151243,0,5599,0.00%,3.70%,Flag,10
ORIGINAL_WHOLE_INCHES_____ODORIN,Flag (2 Values),2,"0.0 (151242), 6.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,Flag,10
PRICE_FIRM_q_____ODFIRM,Flag (2 Values),2,"Y (7210), N (22)"," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,144011,0.00%,95.22%,Flag,10
PRICING_METHOD_FROM_QUOTES_____ODPMTH,Flag (2 Values),2,"N (144985), L (795)","N, N, N, N, N",nvarchar,(MAX),151243,0,5463,0.00%,3.61%,Flag,10
Sales_Approval_____ODSAPR,Flag (2 Values),2,"N (145294), Y (497)","N, N, N, N, N",nvarchar,(MAX),151243,0,5452,0.00%,3.60%,Flag,10
SIZE_4_____ODSIZ4,Flag (2 Values),2,"0.0 (151213), 1.0 (30)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,Flag,10
